iter	RMSE
0	3933.24432
1	3808.107351
2	3698.665368
3	3589.711636
4	3487.983228
5	3395.238293
6	3319.196717
7	3243.379981
8	3173.172344
9	3109.877133
10	3046.071032
11	2991.04364
12	2937.264472
13	2889.151159
14	2848.169458
15	2809.822409
16	2770.990093
17	2735.214193
18	2704.083696
19	2677.057202
20	2649.103112
21	2625.101731
22	2602.896838
23	2579.427317
24	2557.98566
25	2533.402248
26	2511.972964
27	2494.462175
28	2474.998239
29	2462.101435
30	2449.115611
31	2436.063709
32	2423.437798
33	2411.935218
34	2403.042932
35	2389.744534
36	2378.151615
37	2368.842503
38	2359.672262
39	2344.917372
40	2327.876927
41	2320.733242
42	2312.773248
43	2306.521956
44	2298.130172
45	2291.913179
46	2286.250767
47	2277.741613
48	2272.218043
49	2260.76812
50	2252.812807
51	2248.672452
52	2243.898634
53	2238.435079
54	2233.584959
55	2230.057294
56	2226.921259
57	2221.405071
58	2217.424743
59	2210.884746
60	2204.89655
61	2199.143573
62	2194.312875
63	2189.018512
64	2184.571319
65	2180.451673
66	2175.16321
67	2171.365081
68	2167.937504
69	2162.995303
70	2156.11343
71	2151.610528
72	2148.016969
73	2145.923577
74	2136.61681
75	2134.883602
76	2129.292057
77	2125.093989
78	2122.542744
79	2117.936611
80	2113.591866
81	2110.726394
82	2107.552504
83	2104.488104
84	2101.195913
85	2099.160734
86	2095.988744
87	2093.067844
88	2087.481469
89	2083.212353
90	2080.356094
91	2071.953269
92	2070.051977
93	2067.638059
94	2065.204092
95	2061.636647
96	2059.804436
97	2057.001315
98	2055.666254
99	2052.906051
100	2050.849144
101	2048.530752
102	2046.999415
103	2045.065531
104	2043.876869
105	2042.354081
106	2040.317613
107	2036.993258
108	2034.704007
109	2031.500929
110	2027.924601
111	2026.481789
112	2023.457646
113	2021.650119
114	2019.958505
115	2017.405104
116	2015.872148
117	2014.217259
118	2012.14412
119	2011.033032
120	2009.028797
121	2006.920632
122	2004.862998
123	2003.142813
124	2001.988162
125	2000.372045
126	1998.358836
127	1996.521648
128	1994.940028
129	1992.851301
130	1991.993791
131	1990.252858
132	1988.517394
133	1987.176422
134	1987.125893
135	1984.688745
136	1982.866595
137	1980.530073
138	1978.902587
139	1977.20609
140	1975.711168
141	1975.628067
142	1975.579589
143	1973.30608
144	1971.750989
145	1969.231516
146	1968.276261
147	1966.497948
148	1965.055419
149	1959.356676
150	1957.145579
151	1955.645478
152	1955.570336
153	1954.079499
154	1953.224927
155	1951.780204
156	1950.536773
157	1948.767974
158	1948.696693
159	1946.792059
160	1944.273492
161	1942.978003
162	1941.84216
163	1940.776541
164	1939.367871
165	1938.866865
166	1938.122781
167	1937.013803
168	1935.634194
169	1934.029281
170	1932.538578
171	1931.84262
172	1931.189322
173	1929.733044
174	1928.951935
175	1927.732813
176	1922.847869
177	1921.777466
178	1921.724661
179	1921.205354
180	1918.946048
181	1918.094504
182	1915.770514
183	1913.983369
184	1912.365671
185	1910.063943
186	1910.015311
187	1908.705358
188	1908.033193
189	1907.066795
190	1906.742556
191	1904.839546
192	1903.028862
193	1902.973767
194	1901.120928
195	1901.06776
196	1898.993533
197	1897.670159
198	1896.332387
199	1895.439541
200	1894.299297
201	1893.97994
202	1889.892368
203	1888.711438
204	1888.416628
205	1886.842579
206	1885.142766
207	1882.836415
208	1880.992404
209	1880.943731
210	1880.416139
211	1879.031408
212	1878.595649
213	1877.225067
214	1876.646511
215	1875.041828
216	1874.16175
217	1873.568011
218	1873.286265
219	1870.817432
220	1869.404965
221	1869.042459
222	1868.060185
223	1867.040008
224	1865.047606
225	1863.595844
226	1861.714104
227	1860.621859
228	1860.160663
229	1858.31543
230	1858.077872
231	1856.854128
232	1856.434009
233	1854.098451
234	1852.593706
235	1851.45868
236	1849.992022
237	1848.921053
238	1848.582346
239	1847.140197
240	1846.718028
241	1844.667392
242	1843.617138
243	1843.26549
244	1839.856952
245	1838.765035
246	1837.494949
247	1837.148457
248	1835.989973
249	1834.601343
250	1834.090169
251	1832.474755
252	1831.234113
253	1830.910881
254	1827.85746
255	1827.645277
256	1827.12042
257	1826.030577
258	1823.248947
259	1821.735225
260	1821.248141
261	1819.79275
262	1818.920958
263	1818.231084
264	1816.74547
265	1815.377685
266	1814.500876
267	1813.960131
268	1812.452567
269	1811.548569
270	1810.339119
271	1809.871302
272	1809.634444
273	1808.668301
274	1808.260763
275	1807.414857
276	1806.423
277	1806.06915
278	1805.187142
279	1802.77269
280	1801.628689
281	1801.066474
282	1800.353291
283	1798.454623
284	1797.326933
285	1796.20723
286	1795.863703
287	1795.607083
288	1794.646804
289	1794.46368
290	1793.89705
291	1793.593443
292	1791.455353
293	1790.808753
294	1789.603477
295	1788.659236
296	1787.919167
297	1787.457888
298	1786.278864
299	1785.551358
300	1785.317837
301	1784.894373
302	1784.047304
303	1783.190653
304	1782.829961
305	1781.922864
306	1781.724606
307	1780.855502
308	1780.441264
309	1780.20499
310	1779.495172
311	1779.172489
312	1778.325236
313	1777.430363
314	1776.403412
315	1775.103825
316	1773.79759
317	1772.192426
318	1771.088772
319	1770.036924
320	1769.020252
321	1768.533426
322	1768.035512
323	1767.294434
324	1767.08658
325	1766.153624
326	1765.696833
327	1764.79028
328	1764.067659
329	1763.246676
330	1762.981734
331	1762.312863
332	1760.178584
333	1759.190863
334	1758.303207
335	1757.891353
336	1756.743173
337	1755.823962
338	1755.151456
339	1754.565669
340	1754.408047
341	1753.54162
342	1753.1274
343	1752.214418
344	1750.551608
345	1750.534676
346	1749.868807
347	1748.725135
348	1747.390752
349	1746.74468
350	1745.264928
351	1744.412543
352	1743.221694
353	1742.085337
354	1741.095414
355	1740.058459
356	1739.88873
357	1739.228822
358	1738.704601
359	1738.614725
360	1738.529679
361	1737.280151
362	1736.706966
363	1735.843578
364	1735.117408
365	1734.295873
366	1734.073592
367	1733.527727
368	1731.822465
369	1731.031985
370	1730.517472
